name,site_url,feed_url,language,directory_group,status,show_in_directory,include_in_latest,notes
Tanking Mage,https://tankingmage.wordpress.com/,https://tankingmage.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Tantek Çelik,https://tantek.com/,http://tantek.com/updates.atom,Unspecified,alphabetical,included,yes,yes,
"Tart, darling",https://www.tartdarling.com/,https://www.tartdarling.com/feed/,Unspecified,alphabetical,included,yes,yes,
Taxodium,https://taxodium.ink/,https://taxodium.ink/index.xml,Unspecified,alphabetical,included,yes,yes,
Taylor Film Crit,https://taylorfilmcritic.wordpress.com/,https://taylorfilmcritic.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Technbuzz.com,https://www.technbuzz.com/,https://www.technbuzz.com/feed/,Unspecified,alphabetical,included,yes,yes,
TGLG,https://392ms.witchserver.jp/kb/,https://392ms.witchserver.jp/kb/?mode=rss,Unspecified,alphabetical,included,yes,yes,
The Ancient Gaming Noob,https://tagn.wordpress.com/,http://feeds.feedburner.com/TheAncientGamingNoob,Unspecified,alphabetical,included,yes,yes,
The Bibliollama,https://www.bibliollama.uk/,https://www.bibliollama.uk/feed,Unspecified,alphabetical,included,yes,yes,
The Chip Bag,https://blog.kalechips.net/,https://kalechips.net/RSS.xml,Unspecified,alphabetical,included,yes,yes,
The Dragon Chronicle,https://www.thedragonchronicle.com/,http://feeds.feedburner.com/lazy-sniper/iEkg,Unspecified,alphabetical,included,yes,yes,
The Friendly Necromancer,http://thefriendlynecromancer.blogspot.com/,http://thefriendlynecromancer.blogspot.com/feeds/posts/default,Unspecified,alphabetical,included,yes,yes,
The Gamepad.Club Blog,https://blog.gamepad.club/,https://blog.gamepad.club/feed/,Unspecified,alphabetical,included,yes,yes,
The Ghastly Gamer,https://ghastlymirror.wordpress.com/,https://ghastlymirror.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
The GM Tim,https://thegmtim.ca/,https://thegmtim.ca/feed/,Unspecified,alphabetical,included,yes,yes,
The Last Chapter Gaming Blog,https://thelastchapterguild.wordpress.com/,https://thelastchapterguild.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
The Lesser Key of St. Byleth,https://saintbyleth.wordpress.com/,https://saintbyleth.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
The Maker Dad,https://themakerdad.com/,https://themakerdad.com/rss/,Unspecified,alphabetical,included,yes,yes,
The MMOist,https://themmoist.wordpress.com/,https://themmoist.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
The Sun and The Air,https://criminallyvulgar.dev/,https://criminallyvulgar.dev/feed/,Unspecified,alphabetical,included,yes,yes,
The Tangent Space,https://thetangent.space/,https://thetangent.space/feed.xml,Unspecified,alphabetical,included,yes,yes,
The Video Game Obscura,https://vgobscura.neocities.org/,https://vgobscura.neocities.org/rssfeed.xml,Unspecified,alphabetical,included,yes,yes,
The Virtual Moose,https://virtualmoose.org/,https://virtualmoose.org/feed/,Unspecified,alphabetical,included,yes,yes,
The Weekly Miscellaneous,https://theweeklymiscellaneous.co.uk/,https://theweeklymiscellaneous.co.uk/index.xml,Unspecified,alphabetical,included,yes,yes,
The Works of Egan,https://theworksofegan.net/,https://theworksofegan.net/feed.xml,Unspecified,alphabetical,included,yes,yes,
ThinkRoot,https://thinkroot.xyz/,https://thinkroot.xyz/feed.php,Unspecified,alphabetical,included,yes,yes,
Third World Ecologist,https://3rdworldecol.neocities.org/,https://3rdworldecol.neocities.org/RSS.xml,Unspecified,alphabetical,included,yes,yes,
Through Wolfy's Eyes,https://wolfyseyes.wordpress.com/,http://wolfyseyes.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Timbornholdt.com,https://timbornholdt.com/blog,https://www.timbornholdt.com/blog/feed.rss,Unspecified,alphabetical,included,yes,yes,
Time to Loot,https://www.timetoloot.com/,https://www.timetoloot.com/feed/,Unspecified,alphabetical,included,yes,yes,
Tobold's Blog,http://tobolds.blogspot.com/,http://feeds2.feedburner.com/ToboldsBlog,Unspecified,alphabetical,included,yes,yes,
Toby Geeks Out,https://tobygeeksout.micro.blog/,https://tobygeeksout.micro.blog/feed.xml,Unspecified,alphabetical,included,yes,yes,
Tommyeveryday,https://tommyeveryday.mataroa.blog,https://tommyeveryday.mataroa.blog/rss/,Unspecified,alphabetical,included,yes,yes,
Trevor's Cold Toast,https://coldtoast.org/,https://coldtoast.org/index.xml,Unspecified,alphabetical,included,yes,yes,
Ubergeek Kelly's World,https://www.kgadams.net/,https://www.kgadams.net/feed,Unspecified,alphabetical,included,yes,yes,
Uncountable Thoughts,https://thoughts.uncountable.uk/,https://thoughts.uncountable.uk/feed/,Unspecified,alphabetical,included,yes,yes,
Unidentified Signal Source,https://unidentifiedsignalsource.wordpress.com/,https://unidentifiedsignalsource.wordpress.com/feed/,Unspecified,alphabetical,included,yes,yes,
Valentine's days,https://valentine.bearblog.dev/,https://valentine.bearblog.dev/feed/,Unspecified,alphabetical,included,yes,yes,
Varun Barad - Curious Developer,https://varunbarad.com/,https://varunbarad.com/feed.xml,Unspecified,alphabetical,included,yes,yes,
Vicissitudes,https://vixiss.bearblog.dev/,https://vixiss.bearblog.dev/feed/,Unspecified,alphabetical,included,yes,yes,
Vrabia,https://vrabia.bearblog.dev/,https://vrabia.bearblog.dev/feed/,Unspecified,alphabetical,included,yes,yes,
Wa Wa Wa,https://wawawa.bearblog.dev/,https://wawawa.bearblog.dev/feed/,Unspecified,alphabetical,included,yes,yes,
Waxing Poetic About Life,https://waxingpoeticaboutlife.dreamwidth.org/,https://waxingpoeticaboutlife.dreamwidth.org/data/rss,Unspecified,alphabetical,included,yes,yes,
WCRobinson,https://wcrobinson.org/,https://wcrobinson.org/feed/,Unspecified,alphabetical,included,yes,yes,
Welcome to Saltville,https://www.mollyrazor.com/,https://www.mollyrazor.com/feed/,Unspecified,alphabetical,included,yes,yes,
